Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Lehotský, Karol Miloslav";"1906";"20. storočie, začiatok, 1906";"6.11.1952";;;;"O 623";"1.1.1979";"11. NK";"Beňová, Katarína";"plátno; lepenka";"výška 47.2 cm; šírka 71.6 cm";"6.11.1952";"Krajina pri Ružomberku";"Krajina pri Ružomberku | Ružomberok Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_623";"POZN: ";"1544";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Lehotský 1906";"krajina"
"Lehotský, Karol Miloslav";"1895 - 1915";"20. storočie, začiatok, 1905 okolo";"22.4.1953";;;;"O 624";"1.1.1979";"13. NK";"Beňová, Katarína";"plátno; lepenka";"výška 25.8 cm; šírka 45.5 cm";"22.4.1953";"Slávičí ostrov pri Iloku";"Slávičí ostrov pri Iloku | Slávičí Isle by Ilok (Preklad názvu)";"SNG";"SVK:SNG.O_624";"POZN: ";"1545";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: K.M.Lehotský";"krajina"
"Čordák, Ľudovít";"1890 - 1910";"19.-20. storočie, prelom, 1900 okolo";"22.4.1953";;;;"O 636";;"13. NK";"Beňová, Katarína";"plátno";"výška 46.5 cm; šírka 56.0 cm";"22.4.1953";"Letná krajina";"Letná krajina | Summer Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_636";"POZN";"282";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Csordák";"krajina"
"Belopotocký, Alexander";"1800 - 1810";"19. storočie, začiatok, 1800-1810";;;;;"O 637";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 52.5 cm; šírka 71.0 cm";"28.5.1953";"Biblický výjav I.";"Biblický výjav I. | Biblical Scene I. (Preklad názvu)";"SNG";"SVK:SNG.O_637";"POZN: úhrnná cena =viď O 637-639  ";"289";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Pinxit Alexand. Belopo. Seneptor";"figurálna kompozícia"
"Belopotocký, Alexander";"1800 - 1810";"19. storočie, začiatok, 1800-1810";;;;;"O 638";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 52.0 cm; šírka 71.0 cm";"28.5.1953";"Biblický výjav II.";"Biblický výjav II. | Biblical Scene II.  (Preklad názvu)";"SNG";"SVK:SNG.O_638";"POZN: cena úhrnná viď - kartu O 637";"289";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce | 10, Slovenská národná galéria, SNG, Bratisl..., digitalizácia, Krajčovičová, Jana, Hergott, Vladimír, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Alexander Belopotocký sculptor";"figurálna kompozícia"
"Belopotocký, Alexander";"1800 - 1810";"19. storočie, začiatok, 1800-1810";;;;;"O 639";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 52.3 cm; šírka 71.0 cm";"28.5.1953";"Biblický výjav III.";"Biblický výjav III. | Biblical Scene III.  (Preklad názvu)";"SNG";"SVK:SNG.O_639";"POZN: cena úhrnná viď kartu O 637 -  Stupeň pôvodnosti:kópia podľa staršieho grafického listu";"289";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"dole: Pinxit Alexander Belopotocký";"figurálna kompozícia"
"Čordák, Ľudovít";"1900 - 1950";"20. storočie, 1. polovica, 1900-1950";"21.12.1953";;;;"O 651";"1.1.1978";"14. NK";"Beňová, Katarína";"lepenka";"výška 49.7 cm; šírka 61.9 cm";"21.12.1953";"Mariánsky dvor v Košiciach";"Mariánsky dvor v Košiciach | Mariásnky Dvor in Košice (Preklad názvu)";"SNG";"SVK:SNG.O_651";"POZN: ";"1653";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Csordák";""
"Čordák, Ľudovít";"1900 - 1950";"20. storočie, 1. polovica, 1900-1950";"21.12.1953";;;;"O 652";"1.1.1978";"14. NK";"Beňová, Katarína";"lepenka";"výška 13.2 cm; šírka 23.0 cm";"21.12.1953";"Horská lúka";"Horská lúka | Mountain Meadow (Preklad názvu)";"SNG";"SVK:SNG.O_652";"POZN: ";"1654";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Čordák, Ľudovít";"1897 - 1917";"20. storočie, 1. polovica, 1907 okolo";"21.12.1953";;;;"O 654";"1.1.1978";"14. NK";"Beňová, Katarína";"lepenka";"výška 31.0 cm; šírka 36.1 cm";"21.12.1953";"Umelcov dvor v Slanci v zime";"Umelcov dvor v Slanci v zime | Artist's Courtyard in Slanec in Winter (Preklad názvu)";"SNG";"SVK:SNG.O_654";"POZN:";"315";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Csordák";"krajina"
"Čordák, Ľudovít";"1900 - 1950";"20. storočie, 1. polovica, 1900-1950";"21.12.1953";;;;"O 655";"1.1.1978";"14. NK";"Beňová, Katarína";"kartón";"výška 18.3 cm; šírka 25.0 cm";"21.12.1953";"Štúdia skál";"Štúdia skál | Study of Rocks (Preklad názvu)";"SNG";"SVK:SNG.O_655";"POZN: ";"1657";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Čordák, Ľudovít";"1900 - 1950";"20. storočie, 1. polovica, 1900-1950";"15.7.1954";;;;"O 759";"1.1.1978";"16. NK";"Beňová, Katarína";"lepenka; kartón";"výška 48.4 cm; šírka 54.5 cm";"15.7.1954";"Zákutie parku";"Zákutie parku | Corner Of A Park (Preklad názvu)";"SNG";"SVK:SNG.O_759";"POZN: ";"442";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Mednyánszky, Ladislav";"1870 - 1900";"19. storočie, 2. polovica, 1870-1900";"15.7.1954";;;;"O 769";"1.1.1982";"16. NK";"Beňová, Katarína";"plátno; lepenka";"výška 40.5 cm; šírka 26.0 cm";"15.7.1954";"Podobizeň muža";"Podobizeň muža | Portrait of a Man (Preklad názvu)";"SNG";"SVK:SNG.O_769";"POZN: ";"453/a";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Mednyánszky";"portrét"
"Pitthordt, Ľudovít";"1880 - 1900";"19. storočie, koniec, 1890 okolo";"12.11.1954";;;;"O 848";"1.1.1979";"17. NK";"Beňová, Katarína";"lepenka";"výška 30.0 cm; šírka 21.0 cm";"12.11.1954";"Hlava chlapca";"Hlava chlapca | Head of a Boy (Preklad názvu)";"SNG";"SVK:SNG.O_848";"POZN: ";"554";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Pitthordt Ľ.";"portrét"
"Nizozemský maliar";"1500";"";"7.3.1955";"súčasť krídlového oltára";;;"O 883";"1.1.1982";"18. NK";"Ludiková, Zuzana";"tabuľa, drevená";"výška 53.9 cm; šírka 39.4 cm";"7.3.1955";"Vzkriesený Kristus";"Vzkriesený Kristus | Resurrected Christ (Preklad názvu)";"SNG";"SVK:SNG.O_883";"POZN: rešt. Dorota Filová, 1961

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 183.";"606";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"náboženský motív"
"Pitthordt, Ľudovít";"1890 - 1910";"19.-20. storočie, prelom, 1900 okolo";"1.1.1955";;;;"O 889";"1.1.1979";"18. NK";"Beňová, Katarína";"kartón";"výška 39.4 cm; šírka 27.3 cm";"1.1.1955";"Štúdia hlavy muža";"Štúdia hlavy muža | Head Study of a Man (Preklad názvu)";"SNG";"SVK:SNG.O_889";"POZN: ";"616";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Mase, P. van - pravdepodobne";"1680 - 1690";"17. storočie, 2. polovica, 1680-1690";"7.3.1955";;;;"O 894";"1.1.1982";"18. NK";"Ludiková, Zuzana";"drevo";"výška 58.0 cm; šírka 82.2 cm";"7.3.1955";"Mestečko s riekou";"Mestečko s riekou | Town with River (Preklad názvu)";"SNG";"SVK:SNG.O_894";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 179.";"620";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s architektonickým motívom so štafážou"
"Czauczik, Jozef";"1805 - 1825";"19. storočie, 1. polovica, 1815 okolo";"1.1.1955";;;;"O 911";"1.1.1982";"18. NK";"Beňová, Katarína";"kartón";"výška 36.5 cm; šírka 14.5 cm";"1.1.1955";"Obchodík s textilným tovarom";"Obchodík s textilným tovarom | Merchant with Textiles (Preklad názvu)";"SNG";"SVK:SNG.O_911";"POZN: Czauszik Jozeph.";"643";"kúpa";"";"Dielo katalogizované";"originál";;;"návrh";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, štít vývesný";;"JG /SCZ/";""
"Bohúň, Peter Michal";"1860 - 1870";"19. storočie, 2. polovica, 1860-1870";"1.1.1955";;;;"O 913";"1.1.1982";"18. NK";"Beňová, Katarína";"plátno";"výška 92.3 cm; šírka 67.2 cm";"1.1.1955";"Podobizeň pani Vavrečanovej";"Podobizeň pani Vavrečanovej | Portrait of Mrs. Vavrečanová (Preklad názvu)";"SNG";"SVK:SNG.O_913";"POZN: ";"644/b";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Vries, Paul Vredeman de";"1612";"17. storočie, 1. polovica, 1612";"8.6.1955";;;;"O 924";"1.1.1982";"19. NK";"Ludiková, Zuzana";"drevo, dubové";"výška 91.2 cm; šírka 114.5 cm";"8.6.1955";"Šalamún a Kráľovná zo Sáby";"Šalamún a Kráľovná zo Sáby | Nádvorie paláca - Ahasver vychádza v ústrety Ester - pôvod.; Solomon and the Queen of Sheba (Preklad názvu)";"SNG";"SVK:SNG.O_924";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 128-129.";"657";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: 1612 R de Vris";"veduta s figurálnou štafážou"
"Caulery, Louis de";"1600 - 1610";"17. storočie, začiatok, 1600-1610";"8.6.1955";;;;"O 932";"1.1.1982";"19. NK";"Ludiková, Zuzana";"drevo";"výška 65.6 cm; šírka 50.1 cm";"8.6.1955";"Vojenský tábor";"Vojenský tábor | Military Camp (Preklad názvu)";"SNG";"SVK:SNG.O_932";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 98-99.";"664";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"historický motív | figurálna kompozícia"
"Herp, Willem van";"1650";"";"14.2.1956";;;;"O 1006";"1.1.1982";"20. NK";"Ludiková, Zuzana";"drevo, dubové";"výška 57.6 cm; šírka 40.1 cm";"14.2.1956";"Potulný huslista";"Potulný huslista | Dedinský huslista ; Village Violinist (Preklad názvu)";"SNG";"SVK:SNG.O_1006";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 110-111.";"788";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"figurálna kompozícia"
"Pitthordt, Ľudovít";"1890 - 1910";"19.-20. storočie, prelom, 1900 okolo";"1.1.1956";;;;"O 1007";"1.1.1979";"21. NK";"Beňová, Katarína";"plátno";"výška 28.1 cm; šírka 24.5 cm";"1.1.1956";"Štúdia k vlastnej podobizni";"Štúdia k vlastnej podobizni | Study for a Self-Portrait (Preklad názvu)";"SNG";"SVK:SNG.O_1007";"POZN: ";"799";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Pitthordt";"portrét"
"Nizozemský romantista z 1. polovice 16. storočia";"1530 - 1540";"16. storočie, 1. polovica, 1530-1540";"10.4.1956";;;;"O 1022";"1.1.1982";"21. NK";"Ludiková, Zuzana";"drevo";"výška 90.9 cm; šírka 60.5 cm";"10.4.1956";"Madona s dieťaťom pri stole";"Madona s dieťaťom pri stole | Madonna with Child at the Table (Preklad názvu)";"SNG";"SVK:SNG.O_1022";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 184.";"819";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"náboženský motív"
"Nizozemský maliar";"1590 - 1610";"16.-17. storočie, prelom, 1600 okolo";"10.4.1956";;;;"O 1023";"1.1.1982";"21. NK";"Ludiková, Zuzana";"drevo";"výška 71.5 cm; šírka 106.1 cm";"10.4.1956";"Diana a Kallistó";"Diana a Kallistó | Diana s družinou pri kúpaní - pôvod.; Diana and Callisto  (Preklad názvu)";"SNG";"SVK:SNG.O_1023";"POZN: rešt. Andrea Dobošová, 1962 – 1963 (RP 39)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 185.";"820";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"krajina | náboženský motív"
"Lundens, Gerrit";"1656";"17. storočie, 2. polovica, 1656";"10.4.1956";;;;"O 1024";"1.1.1982";"21. NK";"Ludiková, Zuzana";"drevo";"výška 38.4 cm; šírka 47.7 cm";"10.4.1956";"U ránhojiča";"U ránhojiča | At the Apothecary's  (Preklad názvu)";"SNG";"SVK:SNG.O_1024";"POZN:  rešt. Mária Spoločníková, 1963 (RP 43)

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 102-103.";"820";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: G.Lundes fecit 1656";"figurálna kompozícia"
"Goyen, Jan van";"1641";"17. storočie, 1. polovica, 1641";"10.4.1956";;;;"O 1025";"1.1.1982";"21. NK";"Ludiková, Zuzana";"drevo";"výška 41.1 cm; šírka 60.0 cm";"10.4.1956";"Plachetnice v prístave";"Plachetnice v prístave | Boats in Harbour (Preklad názvu)";"SNG";"SVK:SNG.O_1025";"POZN: rešt. Alžbeta Darolová, 1960 – 1961 (RP 19)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 54-55.";"821";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole na loďke: 'JV'Goyen 1641";"krajina"
"Neznámy maliar";"1680 - 1700";"17. storočie, 2. polovica, 1680-1700";"23.4.1956";;;;"O 1029";"1.1.1982";"21. NK";"Ludiková, Zuzana";"drevo";"výška 60.0 cm; šírka 74.5 cm";"23.4.1956";"Stádo na paši";"Stádo na paši | Herd in a Pasture (Preklad názvu)";"SNG";"SVK:SNG.O_1029";"POZN: ";"826";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";"20.8.2007";"neznačené";"krajina s animálnou štafážou"
"Rembrandt van Rijn - autor predlohy";"1801 - 1900";"19. storočie ?";;;;;"O 1063";"1.1.1983";;"Ludiková, Zuzana";"plátno";"výška 55.0 cm; šírka 44.0 cm";"1.1.1956";"Vlastná podobizeň";"Vlastná podobizeň | Self-Portrait (Preklad názvu)";"SNG";"SVK:SNG.O_1063";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 192.";"893";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neoznačené";"portrét"
"Tyssens, Jan Baptist";"1650 - 1670";"17. storočie, 2. polovica, 1660 okolo";"12.7.1956";;;;"O 1083";"1.1.1982";"24. NK";"Ludiková, Zuzana";"plátno";"výška 78.0 cm; šírka 66.3 cm";"12.7.1956";"Zátišie so zverinou";"Zátišie so zverinou | Still Life with Game  (Preklad názvu)";"SNG";"SVK:SNG.O_1083";"POZN: rešt. Eva Ricottiová, 1957 (RP 279); 1968 – 1969 Eva Ricottiová, 1957 (RP 279); 1968 – 1969 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 82-83.";"919";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Jan B.Tyssens";"lovecký motív"
"Verkolje, Nicolaes";"1675 - 1700";"17. storočie, koniec";"12.7.1956";;;;"O 1084";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo";"výška 34.3 cm; šírka 27.6 cm";"12.7.1956";"Gyges v spálni kráľa Kandaula";"Gyges v spálni kráľa Kandaula | Gyges in the Bedroom of King Candaules' Wife  (Preklad názvu)";"SNG";"SVK:SNG.O_1084";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 148-149.";"940";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Verkolje";"figurálna kompozícia"
"Verboom, Adriaen Hendriksz";"1654";"17. storočie, polovica, 1654";"12.7.1956";;;;"O 1085";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo, dubové";"výška 54.1 cm; šírka 71.1 cm";"12.7.1956";"Krajina s potokom a mostom";"Krajina s potokom a mostom | Landscape with River and Bridge  (Preklad názvu)";"SNG";"SVK:SNG.O_1085";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 64-65.";"941";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: A.H.Boom 1654";"krajina"
"Flámsky maliar zo začiatku 17. storočia";"1600 - 1615";"17. storočie, začiatok, 1600-1615";"12.7.1956";;;;"O 1086";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo";"výška 35.8 cm; šírka 26.2 cm";"12.7.1956";"Hlava stareny v čepci";"Hlava stareny v čepci | Head of an Old Woman in a Bonnet (Preklad názvu)";"SNG";"SVK:SNG.O_1086";"POZN: rešt. Alžbeta Darolová, 1960 (RP 25)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 166.";"937";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Mulier st., Pieter";"1640 - 1660";"17. storočie, polovica, 1650 okolo";"12.7.1956";;;;"O 1087";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo";"výška 35.0 cm; šírka 56.1 cm";"12.7.1956";"Plachetnice na rozbúrenom mori";"Plachetnice na rozbúrenom mori | Plachetnica na mori-pôvod.názov; Boats on a Stormy Sea (Preklad názvu)";"SNG";"SVK:SNG.O_1087";"POZN: rešt. Eva Ricottiová, 1960 – 1961 (RP 20)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 70-71.";"915";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"morská krajina"
"Begeyn, Abraham";"1670 - 1680";"17. storočie, 2. polovica, 1670-1680";"24.9.1956";;;;"O 1088";"1.1.1982";"24. NK";"Ludiková, Zuzana";"plátno";"výška 41.9 cm; šírka 56.7 cm";"24.9.1956";"Brod";"Brod | Na pašu - pôvod.; Ford (Preklad názvu)";"SNG";"SVK:SNG.O_1088";"POZN:  rešt. Eva Ricottiová, 1958 (RP 295)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 68-69.";"913";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"replika";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnym motívom"
"Palamedes, Antonie - autor predlohy";"1650 - 1660";"17. storočie, polovica, 1650 po";"12.7.1956";;;;"O 1090";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo";"výška 40.2 cm; šírka 48.8 cm";"12.7.1956";"Domáci koncert";"Domáci koncert | Home Concert (Preklad názvu); ";"SNG";"SVK:SNG.O_1090";"POZN: rešt. Alžbeta Darolová, 1960 (RP 15)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 188.";"920";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"figurálna kompozícia"
"Čordák, Ľudovít";"1900 - 1950";"20. storočie, 1. polovica, 1900-1950";"12.7.1956";;;;"O 1094";"1.1.1978";"23. NK";"Beňová, Katarína";"lepenka";"výška 32.3 cm; šírka 40.5 cm";"12.7.1956";"Motív zo Slanca";"Motív zo Slanca | Motif from Slanec (Preklad názvu)";"SNG";"SVK:SNG.O_1094";"POZN: ";"927";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Csordák";"krajina"
"Francúzsky maliar z konca 17. storočia";"1670 - 1690";"17. storočie, 2. polovica, 1670-1690";;;;;"O 1122";"1.1.1983";;"Ludiková, Zuzana";"plátno";"výška 40.0 cm; šírka 58.0 cm";"1.1.1956";"Nymfy v lese";"Nymfy v lese | Nymphs in the Woods (Preklad názvu)";"SNG";"SVK:SNG.O_1122";"POZN: ";"47";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"15.11.2007";"neznačené";"náboženský motív"
"Benczúr, Gyula";"1864";"19. storočie, 2. polovica, 1864";;;;;"O 1123";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 124.5 cm; šírka 95.5 cm";"1.1.1956";"Podobizeň košického bankára Fiedlera";"Podobizeň košického bankára Fiedlera | Portrait of Košice Banker Fiedler (Preklad názvu)";"SNG";"SVK:SNG.O_1123";"POZN: Benczur Gyula";"47";"prevod";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Bencúr 1864";"portrét"
